product_name,gender,color,sleeve_type,material,combo_item,price,no._of_sells,no._of_review,location,product_link,product_id,sku,discount,price_band,discount_band,sales_per_review
New Stylish T-shirt for men // No Girl Friend T-Shirt,Male,Unknown,Unknown,Unknown,Unknown,220,119,3,Dhaka,www.daraz.com.bd/products/no-girl-friend-i387713365.html,387713365,387713365_BD-1933467334,27.0,High,Low,29.75
Brazil 5 star  Exclusive new T-Shirt For Man Half Sleeve T Shirt For Men - T Shirt,Male,Unknown,Half Sleeve,Unknown,Unknown,99,3000,170,Dhaka,www.daraz.com.bd/products/5-i356003754.html,356003754,356003754_BD-1751493665,51.0,Low,High,17.54385964912281
no girls Premium Quality - stylish new T Shirt - Casual Exclusive half Sleeve T Shirt For Men - T Shirt,Male,Unknown,Half Sleeve,Unknown,Unknown,96,1600,50,Dhaka,www.daraz.com.bd/products/-i394493725.html,394493725,394493725_BD-1962870169,46.0,Low,Medium,31.372549019607842
Premium Cotton Casual Polo T-shirt for Men -  T Shirt For Men,Male,Unknown,Unknown,Cotton,Unknown,199,77,2,Dhaka,www.daraz.com.bd/products/-i390374720.html,390374720,390374720_BD-1949799601,0.0,High,Low,25.666666666666668
T-shirt for men premium quality. 1,Male,Unknown,Unknown,Unknown,Unknown,175,8200,913,Rajshahi,www.daraz.com.bd/products/1-i316296556.html,316296556,316296556_BD-1877385117,73.0,Medium,Very High,8.971553610503282
T-SHIRT dream smile design Sky blue colour,Unknown,Blue,Unknown,Unknown,Unknown,90,64,1,Dhaka,www.daraz.com.bd/products/-i391780443.html,391780443,391780443_BD-1954907360,55.0,Low,High,32.0
Summer Printed Combo T-Shirt & Pant For Men,Male,Unknown,Unknown,Unknown,Combo,335,29,3,Dhaka,www.daraz.com.bd/products/-i387642703.html,387642703,387642703_BD-1933115769,48.0,Premium,Medium,7.25
"Combo Set - T-Shirt and Trouser for Men - Soft Fabric and Comfortable Ensemble, Ideal for Casual Days in Moderate Weather",Male,Unknown,Unknown,Unknown,Combo,496,6400,819,Dhaka,www.daraz.com.bd/products/combo-set-t-shirt-and-trouser-for-men-soft-fabric-and-comfortable-ensemble-ideal-for-casual-days-in-moderate-weather-i271309266.html,271309266,271309266_BD-2064089187,76.0,Premium,Very High,7.804878048780488
Stylish Addition - New Stylist Printed Cotton Haf Sleeve T Shirt For Men Haf Sleeve T Shirt For Men - T Shirt - Modern - Choice Expression,Male,Unknown,Unknown,Cotton,Unknown,200,1000,71,Dhaka,www.daraz.com.bd/products/-i298752868.html,298752868,298752868_BD-1954515957,52.0,High,High,13.88888888888889
New Jarsy  Desing Digital printed Boys T-shirt/ Tshirt For Men/ T-shirt,Unknown,Unknown,Unknown,Unknown,Unknown,89,46,1,Dhaka,www.daraz.com.bd/products/-i391044204.html,391044204,391044204_BD-2075463247,55.0,Low,High,23.0
Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity,Male,Unknown,Unknown,Unknown,Unknown,90,39,0,Dhaka,www.daraz.com.bd/products/-i391771266.html,391771266,391771266_BD-1954892709,63.0,Low,Very High,39.0
premium Quality T shirt for mens,Unknown,Unknown,Unknown,Unknown,Unknown,139,35,4,Dhaka,www.daraz.com.bd/products/-i391812408.html,391812408,391812408_BD-1955019201,54.0,Medium,High,7.0
New Best Save Palestine Synthetic T-Shirt for Men,Male,Unknown,Unknown,Unknown,Unknown,90,12,1,Dhaka,www.daraz.com.bd/products/-i392384593.html,392384593,392384593_BD-1956973108,72.0,Low,Very High,6.0
Export Quality New T-Shirt Fabric Soft And Comfortable - T Shirt,Unknown,Unknown,Unknown,Unknown,Unknown,90,28,0,Dhaka,www.daraz.com.bd/products/-i392380671.html,392380671,392380671_BD-1956965000,64.0,Low,Very High,28.0
2 Pis Stylist Summer - Tshirt For Men or ledis,Male,Unknown,Unknown,Unknown,Unknown,190,24,0,Dhaka,www.daraz.com.bd/products/2-i391040820.html,391040820,391040820_BD-2078066743,47.0,High,Medium,24.0
Stream Rap Men's T-Shirt II Printed Casual - Half Sleeve Round Neck - Comfortable to Wear in Summer Season,Unknown,Unknown,Half Sleeve,Unknown,Unknown,95,22600,1434,Dhaka,www.daraz.com.bd/products/stream-rap-mens-t-shirt-ii-printed-casual-half-sleeve-round-neck-comfortable-to-wear-in-summer-season-i269755117.html,269755117,269755117_BD-1632223359,52.0,Low,High,15.749128919860627
Black Printed Summer Combo T-Shirt & Pant for Men,Male,Black,Unknown,Unknown,Combo,256,36900,3086,Dhaka,www.daraz.com.bd/products/-i192042736.html,192042736,192042736_BD-1138894260,53.0,High,High,11.9533527696793
China Vland Degin Tshirt For men,Male,Unknown,Unknown,Unknown,Unknown,99,3100,192,Dhaka,www.daraz.com.bd/products/-i342846611.html,342846611,342846611_BD-1672821055,50.0,Low,Medium,16.06217616580311
Best Quality Casual T-shirt's for men,Male,Unknown,Unknown,Unknown,Unknown,107,6400,380,Dhaka,www.daraz.com.bd/products/-i323501490.html,323501490,323501490_BD-1541186770,57.0,Medium,High,16.79790026246719
ami amar moto New Desing Soft & Comfortable T-shirt For Men-T-shirt,Unknown,Unknown,Unknown,Unknown,Unknown,96,1700,82,Dhaka,www.daraz.com.bd/products/ami-amar-moto-i361958690.html,361958690,361958690_BD-1786323392,52.0,Low,High,20.481927710843372
Combo 2 PIS Comfortable casual T-shirt for men,Male,Unknown,Unknown,Unknown,Combo,199,9,1,Dhaka,www.daraz.com.bd/products/2-i391046127.html,391046127,391046127_BD-2107345627,38.0,High,Low,4.5
New Stylist Printed  Half Sleeve T Shirt For Men,Male,Unknown,Half Sleeve,Unknown,Unknown,98,8800,800,Dhaka,www.daraz.com.bd/products/-i226355635.html,226355635,226355635_BD-1969289060,72.0,Low,Very High,10.986267166042447
Babchi Ekto aVadro Hobo Desing Soft & Comfortable T-shirt For men new 2024,Male,Unknown,Unknown,Unknown,Unknown,95,17,0,Dhaka,www.daraz.com.bd/products/babchi-ekto-avadro-hobo-desing-2024-i387638707.html,387638707,387638707_BD-1933076896,52.0,Low,High,17.0
"Maddo's aesthetic, cotton drop shoulder t-shirt",Unknown,Unknown,Unknown,Cotton,Unknown,500,35,3,Dhaka,www.daraz.com.bd/products/-i387055813.html,387055813,387055813_BD-1929890673,50.0,Premium,Medium,8.75
Olive Polyester Short Sleeve T-Shirt for Men,Male,Unknown,Short Sleeve,Polyester,Unknown,157,3400,328,Dhaka,www.daraz.com.bd/products/-i132668666.html,132668666,132668666_BD-1053836628,50.0,Medium,Medium,10.33434650455927
Multi Color T Shirt For Men - Comfortable,Male,Multicolor,Unknown,Unknown,Unknown,90,42,0,Dhaka,www.daraz.com.bd/products/-i391780478.html,391780478,391780478_BD-1954907500,64.0,Low,Very High,42.0
Casual Printed Jersey T-Shirt for Men's (Joto Crush Toto Bash),Unknown,Unknown,Unknown,Unknown,Unknown,90,1300,59,Dhaka,www.daraz.com.bd/products/-i333360720.html,333360720,333360720_BD-1646492844,0.0,Low,Low,21.666666666666668
Comfortable Jersey Febric Printed Black T-Shirt for Men - Comfort Style with Half Sleeve Round Collar T-Shirt,Male,Black,Half Sleeve,Unknown,Unknown,89,2200,109,Dhaka,www.daraz.com.bd/products/comfortable-jersey-febric-printed-black-t-shirt-for-men-comfort-style-with-half-sleeve-round-collar-t-shirt-i266715505.html,266715505,266715505_BD-1238360067,50.0,Low,Medium,20.0
Daraz New Desing Soft & Comfortable T-shirt For Men,Male,Unknown,Unknown,Unknown,Unknown,99,23,1,Dhaka,www.daraz.com.bd/products/-i391040511.html,391040511,391040511_BD-2078265349,50.0,Low,Medium,11.5
Jersey T-Shirt For Man| Half Hand T Shirt For Men,Male,Unknown,Unknown,Unknown,Unknown,90,18,0,Dhaka,www.daraz.com.bd/products/-i391462662.html,391462662,391462662_BD-1953540347,64.0,Low,Very High,18.0
T-Shirt Fabric Soft And Comfortable For Men All Season,Male,Unknown,Unknown,Unknown,Unknown,90,17,2,Dhaka,www.daraz.com.bd/products/-i392380469.html,392380469,392380469_BD-1956957026,78.0,Low,Very High,5.666666666666667
Lamborgani Exclusive new T-Shirt For Man Half Sleeve T Shirt For Men - T Shirt,Male,Unknown,Half Sleeve,Unknown,Unknown,99,352,20,Dhaka,www.daraz.com.bd/products/-i355985488.html,355985488,355985488_BD-1751297032,50.0,Low,Medium,16.761904761904763
Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity,Male,Unknown,Unknown,Unknown,Unknown,90,28,1,Dhaka,www.daraz.com.bd/products/-i391441562.html,391441562,391441562_BD-1953247472,64.0,Low,Very High,14.0
Black Combo T-Shirt & trouser Pant For Man,Male,Black,Unknown,Unknown,Combo,425,298,27,Dhaka,www.daraz.com.bd/products/-i340800582.html,340800582,340800582_BD-1670784138,29.0,Premium,Low,10.642857142857142
boys Premium Quality - stylish new T Shirt - Casual T Shirt For Men // T Shirt,Male,Unknown,Unknown,Unknown,Unknown,92,887,39,Dhaka,www.daraz.com.bd/products/-i342892162.html,342892162,342892162_BD-1672867960,49.0,Low,Medium,22.175
"highway half Sleep T-shirt For Men,stylish premium T-Shirt for Men's",Unknown,Unknown,Unknown,Unknown,Unknown,96,175,7,Dhaka,www.daraz.com.bd/products/-i351467493.html,351467493,351467493_BD-1723793210,46.0,Low,Medium,21.875
Love Summer Stylist T-Shirt - Tshirt For Men - T Shirt For Man Tabassum Fashion LTD,Male,Unknown,Unknown,Unknown,Unknown,90,14,0,Dhaka,www.daraz.com.bd/products/-i391808240.html,391808240,391808240_BD-1954982725,55.0,Low,High,14.0
Black Cotton Short Sleeve T-Shirt For Men - T Shirt For Man,Male,Black,Short Sleeve,Cotton,Unknown,110,1900,180,Dhaka,www.daraz.com.bd/products/black-cotton-short-sleeve-t-shirt-for-men-t-shirt-for-man-i143636151.html,143636151,143636151_BD-1068004378,69.0,Medium,Very High,10.497237569060774
Black Cotton Combo T-Shirt & trouser Pant For Man,Male,Black,Unknown,Cotton,Combo,357,365,24,Dhaka,www.daraz.com.bd/products/-i346212880.html,346212880,346212880_BD-1694275213,55.0,Premium,High,14.6
Summer Printed Combo T-Shirt & Pant - Black - T-Shirt - T Shirt For Man - T Shirt For Man - T Shirt For Man,Male,Black,Unknown,Unknown,Combo,375,1600,95,Dhaka,www.daraz.com.bd/products/-i347638839.html,347638839,347638839_BD-1700635052,37.0,Premium,Low,16.666666666666668
HatE & LoVe Design Soft & Comfortable T-shirt For men new 2024,Male,Unknown,Unknown,Unknown,Unknown,95,0,0,Dhaka,www.daraz.com.bd/products/2024-i387641544.html,387641544,387641544_BD-1933080438,52.0,Low,High,0.0
Stylist premium Quality Summer T- Shirt For Men -  T Shirt,Male,Unknown,Unknown,Unknown,Unknown,165,26,1,Dhaka,www.daraz.com.bd/products/-i389961569.html,389961569,389961569_BD-1946112521,27.0,Medium,Low,13.0
2023 Summer New Fashionable T-shirt For Men [ High Quality Classical Tops ],Male,Unknown,Unknown,Unknown,Unknown,210,7900,675,Dhaka,www.daraz.com.bd/products/2023-i313948897.html,313948897,313948897_BD-1408974526,68.0,High,Very High,11.68639053254438
Always Smile  Design Soft & Comfortable Men's T-Shirt - Half Sleeve Round Neck - Comfortable to Wear in Summer Season,Unknown,Unknown,Half Sleeve,Unknown,Unknown,94,0,0,Dhaka,www.daraz.com.bd/products/-i395719196.html,395719196,395719196_BD-1967369856,50.0,Low,Medium,0.0
Premium Quality - New T shirt -Febric soft and comfortable to wear - T Shirt - T Shirt For Man - Couture - High-end - Iconic Style,Male,Unknown,Unknown,Unknown,Unknown,79,83,9,Dhaka,www.daraz.com.bd/products/-i382643159.html,382643159,382643159_BD-1916165054,60.0,Low,Very High,8.3
Solid Casual Men's T-Shirt - Half Sleeve Round Neck - Comfortable to Wear in Summer Season,Unknown,Unknown,Half Sleeve,Unknown,Unknown,95,1300,96,Dhaka,www.daraz.com.bd/products/solid-casual-mens-t-shirt-half-sleeve-round-neck-comfortable-to-wear-in-summer-season-i248534191.html,248534191,248534191_BD-1194686587,37.0,Low,Low,13.402061855670103
Export Quality T-Shirt Fabric Soft And Comfortable - T Shirt,Unknown,Unknown,Unknown,Unknown,Unknown,90,8,0,Dhaka,www.daraz.com.bd/products/-i392385598.html,392385598,392385598_BD-1956984148,64.0,Low,Very High,8.0
Anime Premium Quality - stylish new T Shirt - Casual T Shirt For Men // T Shirt,Male,Unknown,Unknown,Unknown,Unknown,75,756,34,Dhaka,www.daraz.com.bd/products/-i361431457.html,361431457,361431457_BD-1784804810,79.0,Low,Very High,21.6
Premium Jarsy KApor Quality - stylish new T Shirt - Casual Exclusive half Sleeve T Shirt For Men - T Shirt,Male,Unknown,Half Sleeve,Unknown,Unknown,90,7,0,Dhaka,www.daraz.com.bd/products/-i392384397.html,392384397,392384397_BD-1956928917,61.0,Low,Very High,7.0
2 pis combo New T shirt -Febric soft and comfortable to wear - T Shirt For Man,Male,Unknown,Unknown,Unknown,Combo,193,2100,163,Dhaka,www.daraz.com.bd/products/2-i343711401.html,343711401,343711401_BD-1676577640,44.0,High,Medium,12.804878048780488
Printed summer comfort Combo T-Shirt & Pant For Men - T Shirt For Man - T Shirt,Male,Unknown,Unknown,Unknown,Combo,283,1900,143,Dhaka,www.daraz.com.bd/products/3-i318599187.html,318599187,318599187_BD-1453558559,56.0,Premium,High,13.194444444444445
Splendid Indispensable -Quality And Durablity -High Quality Cotton&Polyester T-shirt & 2 Quarter Pants For Man- Innovative,Unknown,Unknown,Unknown,Cotton & Polyester,Unknown,356,7000,529,Dhaka,www.daraz.com.bd/products/2-i191909875.html,191909875,191909875_BD-1138825296,46.0,Premium,Medium,13.20754716981132
Premium Quality mesh fabric T-Shirt for Men,Male,Unknown,Unknown,Unknown,Unknown,237,18,4,Rajshahi,www.daraz.com.bd/products/-i388877225.html,388877225,388877225_BD-1938297710,53.0,High,High,3.6
6 Combo T-Shirt For Man| Half Sleeve T Shirt For Men | T-Shirts For Men,Male,Unknown,Half Sleeve,Unknown,Combo,556,1400,223,Dhaka,www.daraz.com.bd/products/6-i270725233.html,270725233,270725233_BD-1612081777,31.0,Premium,Low,6.25
Always Smile T-Shirt for Man - Half Sleeve T-Shirt - Express Positivity with Comfortable and Stylish Fashion,Male,Unknown,Half Sleeve,Unknown,Unknown,94,5300,433,Dhaka,www.daraz.com.bd/products/always-smile-t-shirt-for-man-half-sleeve-t-shirt-express-positivity-with-comfortable-and-stylish-fashion-i266379836.html,266379836,266379836_BD-1238107899,47.0,Low,Medium,12.211981566820276
Vabsi Ektu Vodro Hobo Printed Casual T-Shirt for Men - Showcase Unique Style in Your Casual and Stylish Fashion,Male,Unknown,Unknown,Unknown,Unknown,99,2000,78,Dhaka,www.daraz.com.bd/products/vabsi-ektu-vodro-hobo-i345328368.html,345328368,345328368_BD-2078227197,55.0,Low,High,25.31645569620253
Printed Casual T-Shirt//Tshirt For Men,Male,Unknown,Unknown,Unknown,Unknown,90,17,0,Dhaka,www.daraz.com.bd/products/-i391453713.html,391453713,391453713_BD-1953530019,64.0,Low,Very High,17.0
2 pse Jokar Combbo tshirt for men And Women,Male,Unknown,Unknown,Unknown,Unknown,199,11,0,Dhaka,www.daraz.com.bd/products/2-i391044474.html,391044474,391044474_BD-1952505619,45.0,High,Medium,11.0
Grey&Whit Poly-Cotton T-Shirt For Men,Male,Grey,Unknown,Cotton,Unknown,109,1900,178,Dhaka,www.daraz.com.bd/products/-i253190397.html,253190397,253190397_BD-1198636941,56.0,Medium,High,10.614525139664805
à¦“à¦°à¦¾ à¦•à¦¯à¦¼ à¦“à¦°à¦¾à¦‡ à¦Ÿà¦ª à¦“à¦°à¦¾à¦‡ à¦¸à¦¬ à¦†à¦®à¦°à¦¾ à¦•à¦¿ à¦«à¦¾à¦“ à¦¨à¦¿ à¦­à¦¾à¦‡à¦¯à¦¼à¦¾ Half Sleeve T-Shirt For Men - off no brand - Soft and comfortabl,Male,Unknown,Half Sleeve,Unknown,Unknown,99,10,1,Dhaka,www.daraz.com.bd/products/airr-i391043479.html,391043479,391043479_BD-1952501509,51.0,Low,High,5.0
best Premium T-Shirts For Men,Male,Unknown,Unknown,Unknown,Unknown,99,1100,46,Dhaka,www.daraz.com.bd/products/-i362505268.html,362505268,362505268_BD-1788590243,50.0,Low,Medium,23.404255319148938
4 pis combo casual Printed T Shirt For Men,Male,Unknown,Unknown,Unknown,Combo,389,663,70,Dhaka,www.daraz.com.bd/products/4-i325883433.html,325883433,325883433_BD-1565764183,14.0,Premium,Low,9.338028169014084
tylish Unisex White And Ash Color Tshirts - Tshirt For Men,Male,White,Unknown,Unknown,Unknown,90,0,0,Dhaka,www.daraz.com.bd/products/-i391459266.html,391459266,391459266_BD-1953400608,64.0,Low,Very High,0.0
2 Pis Stylist Summer - Tshirt For Men,Male,Unknown,Unknown,Unknown,Unknown,199,0,1,Dhaka,www.daraz.com.bd/products/2-i391040825.html,391040825,391040825_BD-1952506609,50.0,High,Medium,0.0
Men New Fashionable New Design Digital Printed Boys T-Shirt for Men - Artful Fashion for Casual Occasions and Moderate Weather,Male,Unknown,Unknown,Unknown,Unknown,90,10,0,Dhaka,www.daraz.com.bd/products/-i391440236.html,391440236,391440236_BD-1953182170,64.0,Low,Very High,10.0
"hip hop half Sleep T-shirt For Men,stylish premium T-Shirt for Men's",Unknown,Unknown,Unknown,Unknown,Unknown,93,2300,76,Dhaka,www.daraz.com.bd/products/-i351469213.html,351469213,351469213_BD-1723795560,48.0,Low,Medium,29.87012987012987
Premium Quality mesh fabric T-Shirt for  Men,Male,Unknown,Unknown,Unknown,Unknown,254,2900,328,Rajshahi,www.daraz.com.bd/products/-i314678238.html,314678238,314678238_BD-1416283558,61.0,High,Very High,8.814589665653495
Solid  White Colour Soft & Comfortable T-shirt,Unknown,White,Unknown,Unknown,Unknown,88,165,2,Dhaka,www.daraz.com.bd/products/-i343274497.html,343274497,343274497_BD-2127546334,56.0,Low,High,55.0
Polyester Short Sleeve T-Shirt for Men,Male,Unknown,Short Sleeve,Polyester,Unknown,90,0,0,Dhaka,www.daraz.com.bd/products/-i391804310.html,391804310,391804310_BD-1954985152,61.0,Low,Very High,0.0
Tara Best Tshirt Buy T-Shirts For Men In Bangladesh,Male,Unknown,Unknown,Unknown,Unknown,89,43,8,Dhaka,www.daraz.com.bd/products/-i405129671.html,405129671,405129671_BD-2009361819,55.0,Low,High,4.777777777777778
Mash Fabrics T-shirt for summer,Unknown,Unknown,Unknown,Unknown,Unknown,229,426,42,Rajshahi,www.daraz.com.bd/products/-i323349959.html,323349959,323349959_BD-1543972723,65.0,High,Very High,9.906976744186046
White Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Boys,Male,White,Half Sleeve,Unknown,Combo,372,34,0,Dhaka,www.daraz.com.bd/products/-i392938577.html,392938577,392938577_BD-1959138979,43.0,Premium,Medium,34.0
premium quality t-shirt for men no girlfriend no Problem,Male,Unknown,Unknown,Unknown,Unknown,169,7,1,Dhaka,www.daraz.com.bd/products/-i389937991.html,389937991,389937991_BD-1946021200,32.0,Medium,Low,3.5
New White simple Soft & Comfortable T-shirt For Men,Male,White,Unknown,Unknown,Unknown,90,401,21,Dhaka,www.daraz.com.bd/products/-i361013778.html,361013778,361013778_BD-1783270857,68.0,Low,Very High,18.227272727272727
Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity,Male,Unknown,Unknown,Unknown,Unknown,96,11,4,Dhaka,www.daraz.com.bd/products/-i409868007.html,409868007,409868007_BD-2025936933,52.0,Low,High,2.2
Black Printed Round Neck Summer Combo T-Shirt & Pant for Men - Step Out in Style - Perfect For All Season,Male,Black,Unknown,Unknown,Combo,245,1900,118,Dhaka,www.daraz.com.bd/products/-i302766777.html,302766777,302766777_BD-1347516354,42.0,High,Medium,15.966386554621849
Mosjid Design best Premium T-Shirts For Men,Male,Unknown,Unknown,Unknown,Unknown,89,53,6,Dhaka,www.daraz.com.bd/products/-i405288167.html,405288167,405288167_BD-2008812372,55.0,Low,High,7.571428571428571
Special forces Round neck T-shirt for men's,Unknown,Unknown,Unknown,Unknown,Unknown,420,1000,75,Rangpur,www.daraz.com.bd/products/-i347906842.html,347906842,347906842_BD-1802523079,13.0,Premium,Low,13.157894736842104
Stylist premium Quality Summer T-Shirt For Men - T Shirt,Male,Unknown,Unknown,Unknown,Unknown,185,8,1,Dhaka,www.daraz.com.bd/products/-i389955546.html,389955546,389955546_BD-1946083429,29.0,High,Low,4.0
Grey Cotton Short Sleeve T-Shirt for Men,Male,Grey,Short Sleeve,Cotton,Unknown,157,3400,278,Dhaka,www.daraz.com.bd/products/-i136918705.html,136918705,136918705_BD-1059194589,21.0,Medium,Low,12.186379928315413
Green Printed Exclusive Summer Combo T-Shirt & Pant,Unknown,Green,Unknown,Unknown,Combo,315,1600,135,Dhaka,www.daraz.com.bd/products/-i344012170.html,344012170,344012170_BD-1678250885,32.0,Premium,Low,11.764705882352942
"Indispensable Quality and Durability - Half Sleeve Chinese Microfibre T-Shirts for Men - Innovative, Easy to Care, and Long-Lasting",Male,Unknown,Half Sleeve,Unknown,Unknown,90,10,0,Dhaka,www.daraz.com.bd/products/-i391440815.html,391440815,391440815_BD-1953294460,61.0,Low,Very High,10.0
Plen Marshmallow Trendy t- shirt Cat design,Unknown,Unknown,Unknown,Unknown,Unknown,95,35,2,Dhaka,www.daraz.com.bd/products/-i411672551.html,411672551,411672551_BD-2036824703,52.0,Low,High,11.666666666666666
T-SHIRT dream smile design Sky blue colour,Unknown,Blue,Unknown,Unknown,Unknown,96,490,36,Dhaka,www.daraz.com.bd/products/-i361185449.html,361185449,361185449_BD-1784012317,52.0,Low,High,13.243243243243244
Grey Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Boys,Male,Grey,Half Sleeve,Unknown,Combo,370,12,1,Dhaka,www.daraz.com.bd/products/-i392943376.html,392943376,392943376_BD-1959155620,43.0,Premium,Medium,6.0
Summer Printed Combo T-Shirt & Pant For Men,Male,Unknown,Unknown,Unknown,Combo,335,0,0,Dhaka,www.daraz.com.bd/products/-i387656018.html,387656018,387656018_BD-1933118945,48.0,Premium,Medium,0.0
New Collection Super dejain Summer Combo T-Shirt & Full Pant,Unknown,Unknown,Unknown,Unknown,Combo,477,489,40,Dhaka,www.daraz.com.bd/products/-i347679974.html,347679974,347679974_BD-2020513939,65.0,Premium,Very High,11.926829268292684
Premium Quality  Mesh Fabrics T-Shirt for men,Male,Unknown,Unknown,Unknown,Unknown,254,4600,765,Rajshahi,www.daraz.com.bd/products/-i306087602.html,306087602,306087602_BD-1368463418,61.0,High,Very High,6.005221932114883
